text,label
"I have chest pain, sore throat, fever, anxiety, sneezing, back pain, headache.",Obesity
"I have runny nose, sore throat, weight loss, fever, swelling, nausea, dizziness.",Influenza
"I have joint pain, headache, insomnia, sneezing, weight loss.",Obesity
"I have tremors, swelling, rash, sore throat, sneezing, blurred vision, diarrhea.",Influenza
"I have abdominal pain, nausea, fatigue.",Dementia
"I have fever, cough, chest pain, tremors, weight gain, diarrhea.",Migraine
"I have joint pain, depression, back pain, runny nose, tremors, weight gain.",Sinusitis
"I have vomiting, headache, weight loss, fatigue, weight gain, fever, shortness of breath.",Food Poisoning
"I have blurred vision, tremors, dizziness.",Food Poisoning
"I have dizziness, tremors, rash.",Liver Disease
"I have fever, dizziness, nausea, diarrhea, cough, shortness of breath.",Thyroid Disorder
"I have runny nose, rash, sneezing, weight gain, fever, fatigue, swelling.",Common Cold
"I have nausea, sweating, abdominal pain, rash, runny nose, diarrhea.",Diabetes
"I have nausea, vomiting, weight loss.",Bronchitis
"I have rash, weight loss, shortness of breath, fatigue, nausea, muscle pain.",Chronic Kidney Disease
"I have tremors, cough, anxiety, sweating.",Anemia
"I have back pain, sneezing, abdominal pain, weight gain, fatigue.",Depression
"I have swelling, insomnia, sweating, anxiety, weight gain, chest pain.",Thyroid Disorder
"I have muscle pain, insomnia, rash.",Thyroid Disorder
"I have joint pain, rash, dizziness, abdominal pain, insomnia, chest pain, headache.",Arthritis
"I have rash, tremors, vomiting, appetite loss, nausea, dizziness, fatigue.",Hypertension
"I have fever, nausea, weight loss, weight gain, blurred vision.",Hypertension
"I have vomiting, blurred vision, insomnia, depression.",Migraine
"I have diarrhea, fever, runny nose, fatigue.",Obesity
"I have dizziness, diarrhea, back pain, joint pain, appetite loss, sweating.",Common Cold
"I have weight gain, sore throat, chest pain, sweating, joint pain, blurred vision, fatigue.",Thyroid Disorder
"I have cough, tremors, back pain.",Depression
"I have chest pain, swelling, vomiting, fatigue, depression, nausea, joint pain.",Dermatitis
"I have shortness of breath, appetite loss, cough, chest pain.",Asthma
"I have abdominal pain, sneezing, joint pain.",Anxiety
"I have cough, sore throat, abdominal pain, vomiting, blurred vision, appetite loss, chest pain.",Asthma
"I have swelling, tremors, cough, headache.",Stroke
"I have sneezing, shortness of breath, headache.",Dementia
"I have cough, sweating, anxiety, fever, appetite loss.",Epilepsy
"I have shortness of breath, rash, tremors, insomnia, appetite loss, depression, anxiety.",Influenza
"I have insomnia, joint pain, shortness of breath.",Bronchitis
"I have weight gain, muscle pain, sneezing, chest pain, fatigue, swelling.",Heart Disease
"I have appetite loss, swelling, chest pain, joint pain, anxiety, blurred vision.",Hypertension
"I have back pain, tremors, weight gain, chest pain, insomnia, cough, dizziness.",Asthma
"I have fatigue, swelling, dizziness, tremors, runny nose, sweating.",Asthma
"I have dizziness, rash, appetite loss, abdominal pain, muscle pain, back pain.",Heart Disease
"I have cough, blurred vision, weight gain, fever.",Anemia
"I have dizziness, chest pain, muscle pain, abdominal pain.",Influenza
"I have fatigue, weight loss, vomiting, muscle pain.",Anxiety
"I have muscle pain, cough, blurred vision.",Anemia
"I have chest pain, shortness of breath, appetite loss.",Gastritis
"I have appetite loss, headache, diarrhea, weight gain, back pain, dizziness.",Depression
"I have appetite loss, rash, fatigue, anxiety.",Dermatitis
"I have appetite loss, blurred vision, cough, vomiting, depression.",Arthritis
"I have fatigue, depression, nausea, abdominal pain.",Gastritis
"I have fever, weight loss, anxiety, back pain, vomiting.",Liver Disease
"I have rash, insomnia, diarrhea.",Liver Disease
"I have fatigue, nausea, weight loss, depression, sweating, chest pain.",Ibs
"I have chest pain, weight gain, headache, fatigue, rash, appetite loss.",Asthma
"I have rash, appetite loss, dizziness.",Chronic Kidney Disease
"I have fatigue, swelling, headache, chest pain, nausea, insomnia.",Dementia
"I have chest pain, tremors, weight gain, shortness of breath, fatigue.",Stroke
"I have nausea, tremors, appetite loss.",Hypertension
"I have vomiting, sore throat, headache, weight loss, joint pain, abdominal pain, runny nose.",Anxiety
"I have vomiting, diarrhea, runny nose.",Allergy
"I have sneezing, joint pain, shortness of breath, cough, vomiting, anxiety, diarrhea.",Allergy
"I have sweating, cough, swelling, rash, vomiting.",Migraine
"I have sweating, sneezing, joint pain, anxiety, abdominal pain, tremors, depression.",Allergy
"I have blurred vision, depression, sneezing.",Dermatitis
"I have tremors, joint pain, sneezing, headache, vomiting, insomnia, back pain.",Influenza
"I have depression, shortness of breath, sneezing.",Common Cold
"I have weight loss, insomnia, rash, abdominal pain, blurred vision.",Hypertension
"I have vomiting, headache, fever.",Thyroid Disorder
"I have sore throat, appetite loss, tremors, weight loss, anxiety, fatigue, sneezing.",Bronchitis
"I have rash, tremors, nausea, abdominal pain, back pain, anxiety, diarrhea.",Heart Disease
"I have chest pain, insomnia, back pain.",Parkinson'S
"I have rash, runny nose, headache, tremors, swelling, sneezing, fatigue.",Ulcer
"I have weight gain, runny nose, insomnia, weight loss, sore throat.",Stroke
"I have appetite loss, depression, rash.",Thyroid Disorder
"I have fever, rash, sneezing, tremors, abdominal pain, fatigue.",Anemia
"I have dizziness, insomnia, sneezing, tremors, sore throat, runny nose, shortness of breath.",Thyroid Disorder
"I have weight loss, insomnia, back pain, anxiety, rash, depression.",Anxiety
"I have muscle pain, diarrhea, vomiting.",Dementia
"I have anxiety, depression, dizziness, nausea, sneezing, runny nose, shortness of breath.",Tuberculosis
"I have back pain, dizziness, blurred vision, tremors, runny nose, cough.",Influenza
"I have depression, anxiety, diarrhea, sneezing, vomiting.",Pneumonia
"I have runny nose, weight gain, vomiting.",Migraine
"I have depression, swelling, tremors, anxiety, cough, weight gain.",Epilepsy
"I have weight loss, sore throat, abdominal pain, appetite loss, rash, diarrhea, chest pain.",Dermatitis
"I have depression, sneezing, sweating, dizziness, fatigue, rash.",Heart Disease
"I have fever, nausea, tremors.",Dermatitis
"I have back pain, vomiting, shortness of breath.",Food Poisoning
"I have anxiety, diarrhea, nausea, chest pain, blurred vision.",Chronic Kidney Disease
"I have depression, blurred vision, runny nose, tremors.",Depression
"I have diarrhea, nausea, runny nose, fever, blurred vision, tremors, abdominal pain.",Pneumonia
"I have tremors, rash, depression, fever.",Anemia
"I have headache, runny nose, depression, joint pain.",Obesity
"I have chest pain, sweating, headache.",Stroke
"I have cough, vomiting, nausea.",Thyroid Disorder
"I have dizziness, back pain, runny nose, weight gain, chest pain.",Gastritis
"I have diarrhea, fever, headache.",Thyroid Disorder
"I have joint pain, dizziness, tremors.",Hypertension
"I have weight gain, headache, abdominal pain, tremors, cough, appetite loss.",Liver Disease
"I have tremors, blurred vision, diarrhea, fatigue.",Common Cold
"I have blurred vision, appetite loss, sneezing, dizziness, insomnia.",Dementia
"I have abdominal pain, blurred vision, cough, swelling, shortness of breath, tremors.",Depression
"I have cough, joint pain, appetite loss, depression, back pain, muscle pain, insomnia.",Dermatitis
"I have sore throat, vomiting, appetite loss, sneezing, weight loss, weight gain, dizziness.",Arthritis
"I have fatigue, cough, diarrhea.",Ulcer
"I have shortness of breath, vomiting, depression.",Allergy
"I have nausea, fatigue, fever, rash.",Epilepsy
"I have vomiting, fever, runny nose, dizziness, sweating, fatigue, joint pain.",Ulcer
"I have cough, nausea, weight loss.",Ulcer
"I have depression, insomnia, sweating, swelling, weight loss, chest pain.",Asthma
"I have swelling, insomnia, sneezing.",Dermatitis
"I have sneezing, depression, abdominal pain.",Stroke
"I have dizziness, back pain, sneezing, sweating, insomnia, anxiety, runny nose.",Dementia
"I have depression, cough, blurred vision.",Anxiety
"I have tremors, diarrhea, dizziness, swelling.",Pneumonia
"I have fatigue, diarrhea, fever, sweating, depression, weight loss, chest pain.",Bronchitis
"I have vomiting, diarrhea, headache, chest pain, depression, sweating.",Pneumonia
"I have headache, diarrhea, appetite loss, dizziness.",Dementia
"I have appetite loss, tremors, sore throat, swelling, fever, back pain.",Influenza
"I have tremors, depression, headache, vomiting.",Arthritis
"I have dizziness, fever, insomnia, rash.",Anxiety
"I have tremors, headache, shortness of breath, cough.",Tuberculosis
"I have runny nose, anxiety, weight gain, chest pain.",Diabetes
"I have headache, weight gain, vomiting, diarrhea.",Asthma
"I have cough, weight loss, depression, dizziness, anxiety, fatigue.",Heart Disease
"I have cough, weight gain, blurred vision, fatigue.",Anxiety
"I have rash, back pain, swelling, vomiting, fever, chest pain.",Gastritis
"I have nausea, cough, runny nose, anxiety, shortness of breath, depression.",Depression
"I have sweating, blurred vision, weight gain, anxiety, tremors.",Diabetes
"I have weight loss, diarrhea, sore throat, chest pain, shortness of breath.",Diabetes
"I have back pain, chest pain, depression, rash.",Sinusitis
"I have shortness of breath, blurred vision, tremors.",Thyroid Disorder
"I have diarrhea, fever, cough, back pain, weight gain, sneezing.",Migraine
"I have insomnia, tremors, diarrhea, nausea, back pain.",Anxiety
"I have blurred vision, weight gain, tremors, shortness of breath, fatigue, sweating.",Influenza
"I have chest pain, anxiety, sneezing, weight loss, depression, muscle pain.",Dementia
"I have fatigue, diarrhea, cough, vomiting.",Depression
"I have joint pain, blurred vision, diarrhea.",Liver Disease
"I have anxiety, sweating, appetite loss, depression.",Pneumonia
"I have vomiting, abdominal pain, swelling, depression.",Depression
"I have diarrhea, dizziness, back pain, fever.",Tuberculosis
"I have sneezing, vomiting, appetite loss.",Anemia
"I have insomnia, dizziness, weight loss.",Influenza
"I have abdominal pain, appetite loss, muscle pain.",Epilepsy
"I have chest pain, appetite loss, fatigue, rash.",Arthritis
"I have chest pain, joint pain, back pain, cough, depression.",Anxiety
"I have fever, sore throat, headache, abdominal pain.",Pneumonia
"I have insomnia, weight loss, nausea.",Diabetes
"I have shortness of breath, appetite loss, dizziness, sore throat.",Bronchitis
"I have blurred vision, diarrhea, sore throat, rash, insomnia, vomiting, fever.",Diabetes
"I have fatigue, abdominal pain, rash, depression, shortness of breath, weight loss, fever.",Common Cold
"I have sweating, nausea, weight gain, weight loss, rash.",Diabetes
"I have cough, headache, tremors, diarrhea, nausea.",Heart Disease
"I have weight loss, muscle pain, fatigue.",Allergy
"I have sweating, sore throat, runny nose, chest pain, fever, muscle pain.",Thyroid Disorder
"I have muscle pain, sneezing, headache, sweating, diarrhea, nausea.",Ulcer
"I have shortness of breath, swelling, depression, joint pain, diarrhea.",Thyroid Disorder
"I have dizziness, cough, sneezing, back pain, vomiting, diarrhea.",Asthma
"I have dizziness, swelling, shortness of breath.",Tuberculosis
"I have nausea, chest pain, appetite loss, joint pain, weight gain, insomnia, abdominal pain.",Bronchitis
"I have blurred vision, rash, joint pain, sore throat.",Tuberculosis
"I have sore throat, sneezing, headache.",Covid-19
"I have muscle pain, dizziness, joint pain, weight loss, swelling.",Tuberculosis
"I have swelling, vomiting, diarrhea, muscle pain, appetite loss, tremors.",Stroke
"I have cough, swelling, weight gain, runny nose, muscle pain.",Dermatitis
"I have runny nose, shortness of breath, muscle pain, anxiety, sore throat, weight gain.",Ibs
"I have muscle pain, vomiting, diarrhea, abdominal pain, back pain, weight gain.",Chronic Kidney Disease
"I have sweating, nausea, fever.",Epilepsy
"I have back pain, appetite loss, abdominal pain, diarrhea, weight loss, sneezing.",Tuberculosis
"I have runny nose, sneezing, chest pain.",Depression
"I have dizziness, abdominal pain, shortness of breath, fever, tremors, diarrhea.",Arthritis
"I have back pain, runny nose, sore throat, sneezing, joint pain.",Diabetes
"I have blurred vision, appetite loss, joint pain, sweating, insomnia, depression.",Gastritis
"I have abdominal pain, anxiety, sweating, sneezing, nausea, shortness of breath.",Stroke
"I have cough, headache, rash, swelling, weight loss.",Heart Disease
"I have back pain, muscle pain, depression.",Pneumonia
"I have back pain, sweating, runny nose, weight loss.",Anxiety
"I have swelling, shortness of breath, abdominal pain.",Food Poisoning
"I have shortness of breath, sore throat, rash, headache.",Allergy
"I have sneezing, weight loss, fatigue, joint pain, swelling.",Ibs
"I have anxiety, sore throat, runny nose, shortness of breath, weight gain, back pain.",Anxiety
"I have diarrhea, sore throat, weight loss, weight gain, fatigue.",Ulcer
"I have tremors, weight loss, headache.",Liver Disease
"I have back pain, fever, weight gain, joint pain.",Asthma
"I have tremors, swelling, diarrhea, sneezing, runny nose.",Obesity
"I have tremors, chest pain, cough, blurred vision, joint pain, fever.",Stroke
"I have fatigue, blurred vision, swelling, runny nose.",Ulcer
"I have cough, vomiting, fever, sneezing, depression, blurred vision.",Thyroid Disorder
"I have muscle pain, cough, tremors, headache, depression, fever, anxiety.",Dermatitis
"I have joint pain, sweating, insomnia.",Arthritis
"I have rash, back pain, tremors.",Thyroid Disorder
"I have shortness of breath, abdominal pain, fatigue, chest pain, appetite loss, swelling, fever.",Bronchitis
"I have appetite loss, headache, diarrhea, cough.",Sinusitis
"I have back pain, shortness of breath, abdominal pain, sweating, depression, headache.",Dementia
"I have back pain, sweating, appetite loss, headache, cough.",Pneumonia
"I have abdominal pain, fatigue, sweating, muscle pain.",Hypertension
"I have swelling, joint pain, sore throat, diarrhea, rash, dizziness.",Parkinson'S
"I have anxiety, appetite loss, sneezing, abdominal pain, chest pain.",Asthma
"I have nausea, runny nose, dizziness, appetite loss.",Arthritis
"I have diarrhea, tremors, shortness of breath, vomiting, sneezing, rash, fatigue.",Stroke
"I have dizziness, fatigue, rash, diarrhea.",Heart Disease
"I have sore throat, appetite loss, abdominal pain.",Asthma
"I have back pain, weight loss, nausea, headache.",Arthritis
"I have weight loss, sweating, headache, nausea.",Anxiety
"I have cough, chest pain, headache, shortness of breath, fatigue.",Thyroid Disorder
"I have anxiety, muscle pain, chest pain, abdominal pain, weight loss.",Migraine
"I have fatigue, sore throat, cough, rash, headache, sweating, nausea.",Common Cold
"I have tremors, depression, dizziness, muscle pain.",Food Poisoning
"I have swelling, shortness of breath, runny nose.",Bronchitis
"I have sweating, nausea, rash.",Thyroid Disorder
"I have sore throat, tremors, depression, fatigue.",Migraine
"I have insomnia, sore throat, fatigue.",Migraine
"I have headache, nausea, weight loss, appetite loss, fatigue, sore throat.",Anxiety
"I have sneezing, sore throat, vomiting, diarrhea, shortness of breath.",Thyroid Disorder
"I have shortness of breath, fever, blurred vision, sweating, anxiety, chest pain.",Liver Disease
"I have nausea, joint pain, appetite loss, anxiety.",Ibs
"I have sneezing, back pain, cough, swelling.",Anemia
"I have headache, tremors, weight loss, blurred vision, nausea, vomiting.",Covid-19
"I have tremors, sneezing, weight loss, back pain, weight gain.",Sinusitis
"I have shortness of breath, nausea, swelling.",Hypertension
"I have vomiting, shortness of breath, runny nose, muscle pain, insomnia, sore throat, headache.",Common Cold
"I have swelling, appetite loss, sore throat, sweating, back pain, runny nose, headache.",Parkinson'S
"I have anxiety, insomnia, fatigue, blurred vision, cough, runny nose, swelling.",Dermatitis
"I have shortness of breath, back pain, cough, abdominal pain, muscle pain, rash, chest pain.",Liver Disease
"I have muscle pain, sneezing, dizziness.",Ulcer
"I have depression, sneezing, cough, dizziness, insomnia, weight loss, chest pain.",Epilepsy
"I have swelling, muscle pain, fatigue.",Diabetes
"I have fever, swelling, anxiety, chest pain, sneezing.",Bronchitis
"I have depression, vomiting, tremors, abdominal pain, anxiety, fatigue.",Heart Disease
